HGNC approved symbol,Product,Function,Protein complex,Target entity,HGNC approved name,UniProt ID (human),Pfam domains,UniProt ID (mouse),Modification
C14orf169,"H3K4me2, H3K4, H3K36me1",Histone modification erase,#,"H3K4me3, H3K4me1, H3K36me2",#,NO66_HUMAN,"Cupin_4 PF08007 215-557, Pfam-B_41208 PB041208 71-139, Pfam-B_47541 PB047541 1-69",NO66_MOUSE,Histone methylation
C17orf49,#,Histone modification read,"CHD8, MLL2/3, MLL4/WBP7",H3K4me3,chromosome 17 open reading frame 49,BAP18_HUMAN,#,BAP18_MOUSE,#
CARM1,"H3R17me, H3R17me2a",Histone modification write,#,H3R17,coactivator-associated arginine methyltransferase 1,CARM1_HUMAN,"CARM1 PF11531 26-139, PRMT5 PF05185 143-446, Pfam-B_10255 PB010255 449-469, Pfam-B_13059 PB013059 511-606",CARM1_MOUSE,Histone methylation
CBLL1,m6A,RNA modification,WMM,A of mRNA,E3 ubiquitin-protein ligase Hakai (EC 2.3.2.27) (Casitas B-lineage lymphoma-transforming sequence-like protein 1) (c-Cbl-like protein 1) (RING finger protein 188) (RING-type E3 ubiquitin transferase Hakai),HAKAI_HUMAN,PF18408,HAKAI_MOUSE,RNA methylation
CBX1,#,Histone modification read,#,"H3K9me3, H3K27me3",chromobox homolog 1,CBX1_HUMAN,"Chromo PF00385 21-70, Chromo_shadow PF01393 115-172",CBX1_MOUSE,#
CBX2,#,Histone modification read,PRC1,"H3K9me3, H3K27me3",chromobox homolog 2,CBX2_HUMAN,"Chromo PF00385 12-61, Pfam-B_1400 PB001400 249-295",CBX2_MOUSE,#
CBX3,#,Histone modification read,"RING2-L3MBTL2, L3MBTL1",H3K9me3,chromobox homolog 3,CBX3_HUMAN,"Chromo PF00385 30-79, Chromo_shadow PF01393 119-176",CBX3_MOUSE,#
CBX4,#,Histone modification read,PRC1,H3K9me3,chromobox homolog 4,CBX4_HUMAN,"Chromo PF00385 11-60, Pfam-B_16393 PB016393 481-531, Pfam-B_26041 PB026041 401-479, Pfam-B_8537 PB008537 82-281",CBX4_MOUSE,#
CBX5,#,Histone modification read,#,"H3K9me, H3K27me3",chromobox homolog 5,CBX5_HUMAN,"Chromo PF00385 20-69, Chromo_shadow PF01393 119-176",CBX5_MOUSE,#
CBX6,#,Histone modification read,PRC1,"H3K9me3, H3K27me3",chromobox homolog 6,CBX6_HUMAN,"Chromo PF00385 11-60, Pfam-B_41557 PB041557 291-379, Pfam-B_49897 PB049897 381-410",CBX6_MOUSE,#
CBX7,#,Histone modification read,PRC1,"H3K9me3, H3K27me3",chromobox homolog 7,CBX7_HUMAN,Chromo PF00385 11-60,CBX7_MOUSE,#
CBX8,#,Histone modification read,PRC1,"H3K9me3, H3K27me3",chromobox homolog 8,CBX8_HUMAN,Chromo PF00385 11-60,CBX8_MOUSE,#
CCDC101,#,Histone modification read,ATAC,"H3K4me, H3K4me3",coiled-coil domain containing 101,SGF29_HUMAN,DUF1325 PF07039 157-289,SGF29_MOUSE,#
CDC6,#,Chromatin remodeling,#,#,cell division cycle 6,CDC6_HUMAN,"AAA_22 PF13401 190-322, Cdc6_C PF09079 465-545",CDC6_MOUSE,#
CDC73,#,Histone modification write cofactor,#,#,cell division cycle 73,CDC73_HUMAN,CDC73 PF05179 233-525,CDC73_MOUSE,Histone methylation
CDK1,H1ph,Histone modification write,#,H1,cyclin-dependent kinase 1,CDK1_HUMAN,Pkinase PF00069 4-287,CDK1_MOUSE,Histone phosphorylation
CDK17,#,Histone modification write,#,H1,cyclin-dependent kinase 17,CDK17_HUMAN,Pkinase PF00069 192-473,CDK17_MOUSE,Histone phosphorylation
CDK2,"H1Sph, H1Tph",Histone modification write,#,"H1S, H1T",cyclin-dependent kinase 2,CDK2_HUMAN,Pkinase PF00069 4-286,CDK2_MOUSE,Histone phosphorylation
CDK3,#,Histone modification write,#,H1,cyclin-dependent kinase 3,CDK3_HUMAN,Pkinase PF00069 4-286,CDK3_MOUSE,Histone phosphorylation
CDK5,#,Histone modification write,#,H1,cyclin-dependent kinase 5,CDK5_HUMAN,Pkinase PF00069 4-286,CDK5_MOUSE,Histone phosphorylation
CDK7,#,Histone modification write,#,H1,cyclin-dependent kinase 7,CDK7_HUMAN,"Pfam-B_20206 PB020206 301-344, Pkinase PF00069 12-295",CDK7_MOUSE,Histone phosphorylation
CDK9,#,Histone modification cofactor,#,#,cyclin-dependent kinase 9,CDK9_HUMAN,Pkinase PF00069 19-315,CDK9_MOUSE,#
CDY1,#,Histone modification write,#,H4,"chromodomain protein, Y-linked, 1",CDY1_HUMAN,"Chromo PF00385 6-57, ECH PF00378 287-535, Pfam-B_51834 PB051834 101-148",#,Histone acetylation
CDY1B,#,Histone modification write,#,H4,"chromodomain protein, Y-linked, 1B",CDY1_HUMAN,"Chromo PF00385 6-57, ECH PF00378 287-535, Pfam-B_51834 PB051834 101-148",#,Histone acetylation
CDY2A,#,Histone modification write,#,#,"chromodomain protein, Y-linked, 2A",CDY2_HUMAN,"Chromo PF00385 6-57, ECH PF00378 288-536, Pfam-B_51834 PB051834 101-149",#,Histone acetylation
CDY2B,#,Histone modification write,#,#,"chromodomain protein, Y-linked, 2B",CDY2_HUMAN,"Chromo PF00385 6-57, ECH PF00378 288-536, Pfam-B_51834 PB051834 101-149",#,Histone acetylation
CDYL,#,Histone modification write,#,H4,"chromodomain protein, Y-like",CDYL1_HUMAN,"Chromo PF00385 61-112, ECH PF00378 345-593, Pfam-B_14969 PB014969 136-234",CDYL_MOUSE,Histone acetylation
CDYL2,#,Histone modification read,#,H3K9me3,"chromodomain protein, Y-like 2",CDYL2_HUMAN,"Chromo PF00385 7-57, ECH PF00378 253-501",CDYL2_MOUSE,#
CECR2,#,Histone modification read,"CERF, CERF","H2A, H3","cat eye syndrome chromosome region, candidate 2",CECR2_HUMAN,"Bromodomain PF00439 443-526, Pfam-B_13010 PB013010 1-329, Pfam-B_18245 PB018245 800-968, Pfam-B_20164 PB020164 331-419",#,#
CELF1,#,RNA modification,#,mRNA,CUGBP Elav-like family member 1 (CELF-1) (50 kDa nuclear polyadenylated RNA-binding protein) (Bruno-like protein 2) (CUG triplet repeat RNA-binding protein 1) (CUG-BP1) (CUG-BP- and ETR-3-like factor 1) (Deadenylation factor CUG-BP) (Embryo deadenylation element-binding protein homolog) (EDEN-BP homolog) (RNA-binding protein BRUNOL-2),CELF1_HUMAN,PF00076,CELF1_MOUSE,Alternative splicing
CELF2,#,RNA modification,#,mRNA,CUGBP Elav-like family member 2 (CELF-2) (Bruno-like protein 3) (CUG triplet repeat RNA-binding protein 2) (CUG-BP2) (CUG-BP- and ETR-3-like factor 2) (ELAV-type RNA-binding protein 3) (ETR-3) (Neuroblastoma apoptosis-related RNA-binding protein) (hNAPOR) (RNA-binding protein BRUNOL-3),CELF2_HUMAN,PF00076,CELF2_MOUSE,Alternative splicing
CELF3,#,RNA modification,#,mRNA,CUGBP Elav-like family member 3 (CELF-3) (Bruno-like protein 1) (CAG repeat protein 4) (CUG-BP- and ETR-3-like factor 3) (ELAV-type RNA-binding protein 1) (ETR-1) (Expanded repeat domain protein CAG/CTG 4) (RNA-binding protein BRUNOL-1) (Trinucleotide repeat-containing gene 4 protein),CELF3_HUMAN,PF00076,CELF3_MOUSE,Alternative splicing
CELF4,#,RNA modification,#,mRNA,CUGBP Elav-like family member 4 (CELF-4) (Bruno-like protein 4) (CUG-BP- and ETR-3-like factor 4) (RNA-binding protein BRUNOL-4),CELF4_HUMAN,PF00076,CELF4_MOUSE,Alternative splicing
CELF5,#,RNA modification,#,mRNA,CUGBP Elav-like family member 5 (CELF-5) (Bruno-like protein 5) (CUG-BP- and ETR-3-like factor 5) (RNA-binding protein BRUNOL-5),CELF5_HUMAN,PF00076,D3Z4T1_MOUSE,Alternative splicing
CELF6,#,RNA modification,#,mRNA,CUGBP Elav-like family member 6 (CELF-6) (Bruno-like protein 6) (CUG-BP- and ETR-3-like factor 6) (RNA-binding protein BRUNOL-6),CELF6_HUMAN,PF00076,CELF6_MOUSE,Alternative splicing
CENPC,5mC,DNA modification,#,C,centromere protein C,CENPC_HUMAN,"CENP-C_C PF11699 856-940, CENP-C_mid PF15620 296-552, CENP_C_N PF15622 7-292",CENPC_MOUSE,DNA methylation
CHAF1A,#,Chromatin remodeling,CAF-1,"H3, H4","chromatin assembly factor 1, subunit A (p150)",CAF1A_HUMAN,"CAF-1_p150 PF11600 266-479, CAF1-p150_C2 PF15539 665-956, CAF1-p150_N PF15557 1-229, CAF1A PF12253 557-635",CAF1A_MOUSE,#
CHAF1B,#,Chromatin remodeling,"WINAC, CAF-1","H3, H4","chromatin assembly factor 1, subunit B (p60)",CAF1B_HUMAN,"CAF-1_p60_C PF15512 381-558, WD40 PF00400 10-45 57-94 119-157 161-199 339-372",CAF1B_MOUSE,#
CHD1,#,Chromatin remodeling,#,#,chromodomain helicase DNA binding protein 1,CHD1_HUMAN,"Chromo PF00385 273-355 389-443, DUF4208 PF13907 1400-1500, Helicase_C PF00271 822-902, Pfam-B_182 PB000182 1646-1708, Pfam-B_91833 PB091833 121-162, SNF2_N PF00176 484-765",CHD1_MOUSE,#
CHD1L,#,Chromatin remodeling,#,#,chromodomain helicase DNA binding protein 1-like,CHD1L_HUMAN,"Helicase_C PF00271 381-459, Pfam-B_2492 PB002492 468-549, SNF2_N PF00176 49-328",CHD1L_MOUSE,#
CHD2,#,Chromatin remodeling,#,#,chromodomain helicase DNA binding protein 2,CHD2_HUMAN,"Chromo PF00385 261-344 378-447, DUF4208 PF13907 1455-1555, Helicase_C PF00271 825-905, Pfam-B_19320 PB019320 1231-1309, Pfam-B_761 PB000761 1111-1229, SNF2_N PF00176 487-768",CHD2_MOUSE,#
CHD3,#,Chromatin remodeling,NuRD,#,chromodomain helicase DNA binding protein 3,CHD3_HUMAN,"CHDCT2 PF08074 1735-1907, CHDNT PF08073 147-201, Chromo PF00385 539-574 631-683, DUF1086 PF06461 1363-1519, DUF1087 PF06465 1293-1357, Helicase_C PF00271 1094-1174, PHD PF00628 381-426 458-503, SNF2_N PF00176 739-1035",#,#
CHD4,#,Chromatin remodeling,NuRD,#,chromodomain helicase DNA binding protein 4,CHD4_HUMAN,"CHDCT2 PF08074 1724-1896, CHDNT PF08073 163-217, Chromo PF00385 531-577 622-674, DUF1086 PF06461 1366-1523, DUF1087 PF06465 1289-1353, Helicase_C PF00271 1084-1164, PHD PF00628 372-417 451-496, SNF2_N PF00176 729-1025",CHD4_MOUSE,#
CHD5,#,Chromatin remodeling,#,"H3K27me3, H3K4",chromodomain helicase DNA binding protein 5,CHD5_HUMAN,"CHDCT2 PF08074 1731-1903, CHDNT PF08073 146-200, Chromo PF00385 499-537 592-643, DUF1086 PF06461 1377-1531, DUF1087 PF06465 1295-1359, Helicase_C PF00271 1058-1138, PHD PF00628 345-390 418-463, Pfam-B_20089 PB020089 201-334, SNF2_N PF00176 703-999",CHD5_MOUSE,#
CHD6,#,Chromatin remodeling,#,#,chromodomain helicase DNA binding protein 6,CHD6_HUMAN,"BRK PF07533 2400-2441, Chromo PF00385 292-354 375-429, Helicase_C PF00271 817-897, Pfam-B_18962 PB018962 1-49, Pfam-B_23619 PB023619 1691-1909, Pfam-B_71010 PB071010 1911-1953, Pfam-B_761 PB000761 1271-1333 1361-1519, SNF2_N PF00176 464-751",CHD6_MOUSE,#
CHD7,#,Chromatin remodeling,#,#,chromodomain helicase DNA binding protein 7,CHD7_HUMAN,"BRK PF07533 2562-2612 2640-2685, Chromo PF00385 800-862 882-935, Helicase_C PF00271 1324-1404, Pfam-B_19729 PB019729 1-188, Pfam-B_19848 PB019848 2351-2469, Pfam-B_2227 PB002227 281-449, Pfam-B_2565 PB002565 1722-1920, Pfam-B_6146 PB006146 2041-2259, Pfam-B_761 PB000761 1622-1720 1966-2035, SNF2_N PF00176 971-1258",CHD7_MOUSE,#
CHD8,#,Chromatin remodeling,"CHD8, MLL2/3, MLL4/WBP7",H1,chromodomain helicase DNA binding protein 8,CHD8_HUMAN,"BRK PF07533 2308-2353, Chromo PF00385 642-704 724-778, Helicase_C PF00271 1167-1247, Pfam-B_10410 PB010410 1-109, Pfam-B_12479 PB012479 1721-1779, Pfam-B_13819 PB013819 2211-2279, Pfam-B_20709 PB020709 2031-2169, Pfam-B_2565 PB002565 1781-2029, Pfam-B_6146 PB006146 2171-2209, Pfam-B_6192 PB006192 1481-1669, Pfam-B_7386 PB007386 311-493, Pfam-B_8182 PB008182 1411-1479, Pfam-B_8545 PB008545 111-309, SNF2_N PF00176 814-1101",CHD8_MOUSE,#
CHD9,#,Chromatin remodeling,#,#,chromodomain helicase DNA binding protein 9,CHD9_HUMAN,"BRK PF07533 2480-2530 2554-2599, Chromo PF00385 690-752 773-827, Helicase_C PF00271 1216-1296, Pfam-B_10410 PB010410 1-89, Pfam-B_1107 PB001107 2701-2729, Pfam-B_15117 PB015117 371-579, Pfam-B_24836 PB024836 1774-1901, Pfam-B_6192 PB006192 1530-1675, Pfam-B_7386 PB007386 231-369, Pfam-B_8182 PB008182 1460-1528, Pfam-B_8545 PB008545 91-229, SNF2_N PF00176 863-1150",CHD9_MOUSE,#
CHEK1,H3.1ph,Histone modification write,#,H3.1,checkpoint kinase 1,CHK1_HUMAN,Pkinase PF00069 9-265,CHK1_MOUSE,Histone phosphorylation
CHRAC1,#,Histone chaperone,CHRAC,#,chromatin accessibility complex 1,CHRC1_HUMAN,CBFD_NFYB_HMF PF00808 17-80,CHRC1_MOUSE,#
CHUK,#,Histone modification write,#,H3,conserved helix-loop-helix ubiquitous kinase,IKKA_HUMAN,"IKKbetaNEMObind PF12179 706-743, Pfam-B_15051 PB015051 300-415, Pkinase PF00069 15-297",IKKA_MOUSE,Histone phosphorylation
CIR1,#,Histone modification read,#,#,"corepressor interacting with RBPJ, 1",CIR1_HUMAN,"Cir_N PF10197 13-49, Pfam-B_16354 PB016354 52-448",CIR1_MOUSE,#
CIT,H3K9me,"Histone modification write cofactor, Histone modification write cofactor",#,H3K9,citron rho-interacting serine/threonine kinase,CTRO_HUMAN,"CNH PF00780 1597-1868, Pfam-B_11694 PB011694 483-521, Pfam-B_387 PB000387 1354-1412, Pkinase PF00069 97-360, Pkinase_C PF00433 378-424",CTRO_MOUSE,"Histone methylation, Histone phosphorylation"
CLNS1A,#,Histone modification write cofactor,methylosome,#,"chloride channel, nucleotide-sensitive, 1A",ICLN_HUMAN,"Pfam-B_77655 PB077655 1-34, Voldacs PF03517 35-165",ICLN_MOUSE,Histone methylation
CLOCK,#,Histone modification write,#,"H3, H4",clock circadian regulator,CLOCK_HUMAN,"HLH PF00010 35-85, PAS PF00989 109-188, PAS_11 PF14598 273-381, Pfam-B_3081 PB003081 721-839, Pfam-B_7827 PB007827 571-719, Pfam-B_8264 PB008264 382-429",CLOCK_MOUSE,Histone acetylation
CRB2,#,Histone modification read,#,H4K20,crumbs family member 2,CRUM2_HUMAN,"EGF PF00008 112-142 150-180 227-257 324-354 362-392 811-841 1060-1090, Laminin_G_2 PF02210 465-588 900-1033, Pfam-B_3557 PB003557 1199-1283, Pfam-B_79172 PB079172 1119-1197, hEGF PF12661 305-317",CRUM2_MOUSE,#
CREBBP,#,Histone modification write,#,#,CREB binding protein,CBP_HUMAN,"Bromodomain PF00439 1094-1180, Creb_binding PF09030 2016-2115, DUF902 PF06001 1191-1232, KAT11 PF08214 1342-1648, KIX PF02172 587-667, Pfam-B_2669 PB002669 2188-2217, Pfam-B_817 PB000817 2353-2401, ZZ PF00569 1701-1742, zf-TAZ PF02135 352-432 1770-1843",CBP_MOUSE,Histone acetylation
CSNK2A1,#,Histone modification,RING2-FBRS,#,"casein kinase 2, alpha 1 polypeptide",CSK21_HUMAN,Pkinase PF00069 39-324,CSK21_MOUSE,#
CSRP2BP,#,Histone modification write,ATAC,H4,CSRP2 binding protein,CSR2B_HUMAN,"Acetyltransf_1 PF00583 678-752, Pfam-B_6449 PB006449 351-435, Pfam-B_8520 PB008520 1-129",CSR2B_MOUSE,Histone acetylation
CTBP1,#,Chromatin remodeling,LSD-CoREST,#,C-terminal binding protein 1,CTBP1_HUMAN,"2-Hacid_dh PF00389 30-352, 2-Hacid_dh_C PF02826 133-317",CTBP1_MOUSE,#
CTBP2,"H3K9me, H3K9me2",Histone modification write cofactor,#,H3K9,C-terminal binding protein 2,CTBP2_HUMAN,"2-Hacid_dh PF00389 36-358, 2-Hacid_dh_C PF02826 139-323",CTBP2_MOUSE,Histone methylation
CTCF,#,"Chromatin remodeling, TF",#,DNA motif,CCCTC-binding factor (zinc finger protein),CTCF_HUMAN,"Pfam-B_18810 PB018810 671-725, zf-C2H2 PF00096 437-460, zf-C2H2_4 PF13894 555-578, zf-H2C2_2 PF13465 280-305 308-333 336-362 365-389 393-418 481-506 507-534",CTCF_MOUSE,TF activator
CTCFL,#,Chromatin remodeling,#,#,CCCTC-binding factor (zinc finger protein)-like,CTCFL_HUMAN,"Pfam-B_37192 PB037192 1-49, Pfam-B_59982 PB059982 611-659, zf-C2H2 PF00096 428-451 546-568, zf-H2C2_2 PF13465 271-296 299-324 327-353 356-380 384-409 472-497 500-525",CTCFL_MOUSE,#
CTR9,#,Histone modification cofactor,#,H3K36,"CTR9, Paf1/RNA polymerase II complex component",CTR9_HUMAN,"Pfam-B_9491 PB009491 5-42, TPR_1 PF00515 163-196 198-231 306-339 342-374 498-530 531-564 681-710, TPR_2 PF07719 451-483",CTR9_MOUSE,#
CUL1,"H3K9, H3K36, H1.4K26",Chromatin remodeling cofactor,#,"H3K9me3, H3K36me3, H1.4K26me3",cullin 1,CUL1_HUMAN,"Cullin PF00888 21-707, Cullin_Nedd8 PF10557 703-770",CUL1_MOUSE,#
CUL2,#,Chromatin remodeling cofactor,#,HP1 (Heterochromatin protein 1),cullin 2,CUL2_HUMAN,"Cullin PF00888 14-645, Cullin_Nedd8 PF10557 672-739",CUL2_MOUSE,#
CUL3,#,Histone modification write,#,MACROH2A,cullin 3,CUL3_HUMAN,"Cullin PF00888 34-666, Cullin_Nedd8 PF10557 695-762",CUL3_MOUSE,Histone ubiquitination
CUL4A,#,Histone modification write,#,"H3, H4",cullin 4A,CUL4A_HUMAN,"Cullin PF00888 63-661, Cullin_Nedd8 PF10557 688-753",CUL4A_MOUSE,Histone ubiquitination
CUL4B,#,Histone modification write,#,"H3, H4",cullin 4B,CUL4B_HUMAN,"Cullin PF00888 217-815, Cullin_Nedd8 PF10557 842-907",CUL4B_MOUSE,Histone ubiquitination
CUL5,#,DNA modification cofactor,#,#,cullin 5,CUL5_HUMAN,"Cullin PF00888 19-673, Cullin_Nedd8 PF10557 707-774",CUL5_MOUSE,DNA methylation
CXXC1,#,"Chromatin remodeling, TF",COMPASS,"CG, DNA motif",CXXC finger protein 1,CXXC1_HUMAN,"PHD PF00628 28-76, zf-CXXC PF02008 160-208, zf-CpG_bind_C PF12269 400-636",CXXC1_MOUSE,#
DAPK3,#,Histone modification write,#,H3T11,death-associated protein kinase 3,DAPK3_HUMAN,Pkinase PF00069 13-275,DAPK3_MOUSE,Histone phosphorylation
DDB1,#,Histone modification write,#,H2A,"damage-specific DNA binding protein 1, 127kDa",DDB1_HUMAN,"CPSF_A PF03178 788-1099, MMS1_N PF10433 75-546, Pfam-B_431 PB000431 585-732",DDB1_MOUSE,Histone ubiquitination
DDB2,#,Histone modification write cofactor,#,#,"damage-specific DNA binding protein 2, 48kDa",DDB2_HUMAN,WD40 PF00400 112-140 232-271 284-316,DDB2_MOUSE,Histone ubiquitination
DDX17,#,RNA modification,#,mRNA,Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17) (DEAD box protein p72) (DEAD box protein p82) (RNA-dependent helicase p72),DDX17_HUMAN,PF00270;PF00271,DDX17_MOUSE,Alternative splicing
DDX21,#,RNA modification,B-WICH,#,DEAD (Asp-Glu-Ala-Asp) box helicase 21,DDX21_HUMAN,"DEAD PF00270 210-385, GUCT PF08152 620-716, Helicase_C PF00271 458-532, Pfam-B_47445 PB047445 1-39",DDX21_MOUSE,#
DDX5,#,RNA modification,#,RNA,Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5) (RNA helicase p68),DDX5_HUMAN,PF00270;PF00271;PF08061,DDX5_MOUSE,Alternative splicing
DDX50,#,RNA modification,#,#,DEAD (Asp-Glu-Ala-Asp) box polypeptide 50,DDX50_HUMAN,"DEAD PF00270 161-336, GUCT PF08152 571-666, Helicase_C PF00271 409-483",DDX50_MOUSE,#
DEK,#,Chromatin remodeling,B-WICH,H4,DEK proto-oncogene,DEK_HUMAN,"DEK_C PF08766 321-375, Pfam-B_10960 PB010960 191-269, SAP PF02037 149-183",DEK_MOUSE,#
DHX9,#,RNA modification,#,mRNA,ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A),DHX9_HUMAN,PF00270;PF00035;PF04408;PF00271;PF07717,DHX9_MOUSE,Alternative splicing
DMAP1,#,Chromatin remodeling,"NuA4, NuA4-related complex, SRCAP",#,DNA methyltransferase 1 associated protein 1,DMAP1_HUMAN,DMAP1 PF05499 243-407,DMAP1_MOUSE,#
DNAJC1,#,"Histone modification write cofactor, Histone modification erase cofactor",#,#,"DnaJ (Hsp40) homolog, subfamily C, member 1",DNJC1_HUMAN,"DnaJ PF00226 65-126, Myb_DNA-binding PF00249 494-543, Pfam-B_8255 PB008255 367-413",DNJC1_MOUSE,"Histone acetylation, Histone deacetylation"
DNAJC2,#,Histone modification read,#,H2A,"DnaJ (Hsp40) homolog, subfamily C, member 2",DNJC2_HUMAN,"DnaJ PF00226 88-158, Myb_DNA-binding PF00249 451-506 552-600, Pfam-B_24524 PB024524 28-59, Pfam-B_30652 PB030652 1-27",DNJC2_MOUSE,#
DND1,#,RNA modification,#,#,DND microRNA-mediated repression inhibitor 1,DND1_HUMAN,"DND1_DSRM PF14709 253-333, RRM_1 PF00076 60-126",DND1_MOUSE,#
DNMT1,dhU,DNA modification,#,dhC,DNA (cytosine-5-)-methyltransferase 1,DNMT1_HUMAN,"BAH PF01426 755-880 931-1100, DMAP_binding PF06464 16-105, DNA_methylase PF00145 1139-1594, DNMT1-RFD PF12047 399-534, zf-CXXC PF02008 645-691",DNMT1_MOUSE,DNA methylation
DNMT3A,dhU,DNA modification,#,dhC,DNA (cytosine-5-)-methyltransferase 3 alpha,DNM3A_HUMAN,"DNA_methylase PF00145 634-776, PWWP PF00855 290-375",DNM3A_MOUSE,DNA methylation
DNMT3B,dhU,DNA modification,#,dhC,DNA (cytosine-5-)-methyltransferase 3 beta,DNM3B_HUMAN,"DNA_methylase PF00145 575-725, PWWP PF00855 223-308",DNM3B_MOUSE,DNA methylation
DNMT3L,#,Histone modification read,#,H3K4,DNA (cytosine-5-)-methyltransferase 3-like,DNM3L_HUMAN,"Pfam-B_139748 PB139748 181-229, Pfam-B_41249 PB041249 91-179",DNM3L_MOUSE,#
DNTTIP2,#,Chromatin remodeling,#,"H2A, H2B","deoxynucleotidyltransferase, terminal, interacting protein 2",TDIF2_HUMAN,Fcf2 PF08698 635-731,TDIF2_MOUSE,#
DOT1L,#,Histone modification write,#,H3K79,DOT1-like histone H3K79 methyltransferase,DOT1L_HUMAN,"DOT1 PF08123 115-317, Pfam-B_30738 PB030738 501-539",-,Histone methylation
DPF1,#,Chromatin remodeling cofactor,"nBAF, SWI/SNF BRM-BRG1",#,"D4, zinc and double PHD fingers family 1",DPF1_HUMAN,"PHD PF00628 256-311 310-368, Pfam-B_77905 PB077905 1-37, Requiem_N PF14051 38-111",DPF1_MOUSE,#
DPF2,#,Chromatin remodeling,SWI/SNF BRM-BRG1,#,"D4, zinc and double PHD fingers family 2",REQU_HUMAN,"PHD PF00628 272-330 329-376, Requiem_N PF14051 12-85",REQU_MOUSE,#
DPF3,#,Chromatin remodeling,"BAF, nBAF, SWI/SNF BRM-BRG1","H3, H4","D4, zinc and double PHD fingers, family 3",DPF3_HUMAN,"PHD PF00628 261-319 318-366, Requiem_N PF14051 12-85",DPF3_MOUSE,#
DPPA3,#,Histone modification read,#,H3K9me2,developmental pluripotency associated 3,DPPA3_HUMAN,PGC7_Stella PF15549 1-155,DPPA3_MOUSE,#
DPY30,#,Histone modification write cofactor,"COMPASS, Menin-associated_HMT, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7, COMPASS-like MLL3,4",#,dpy-30 homolog (C. elegans),DPY30_HUMAN,"Dpy-30 PF05186 52-93, Pfam-B_28037 PB028037 1-51",DPY30_MOUSE,Histone methylation
DR1,#,Histone chaperone,ATAC,#,"down-regulator of transcription 1, TBP-binding (negative cofactor 2)",NC2B_HUMAN,CBFD_NFYB_HMF PF00808 11-75,NC2B_MOUSE,#
DTX3L,#,Histone modification write,#,H4K91,"deltex 3 like, E3 ubiquitin ligase",DTX3L_HUMAN,"Pfam-B_11420 PB011420 311-389 706-737, zf-RING_2 PF13639 559-600",DTX3L_MOUSE,Histone ubiquitination
DZIP3,H2AK119ub,Histone modification write,#,H2AK119,DAZ interacting zinc finger protein 3,DZIP3_HUMAN,"Pfam-B_10362 PB010362 531-619, Pfam-B_5525 PB005525 201-419, Pfam-B_5636 PB005636 1-199, Pfam-B_8501 PB008501 621-773, Pfam-B_8729 PB008729 421-529, zf-RING_2 PF13639 1146-1188",DZIP3_MOUSE,Histone ubiquitination
EED,#,Polycomb group (PcG) protein,PRC2,#,embryonic ectoderm development,EED_HUMAN,"Pfam-B_26038 PB026038 1-39, Pfam-B_6684 PB006684 265-359, WD40 PF00400 180-219 231-264",EED_MOUSE,#
EEF1AKMT3,K165m,Protein modification,#,Lys165 of eEF1A,EEF1A lysine methyltransferase 3,EFMT3_HUMAN,PF10294,EFMT3_MOUSE,Protein methylation
EEF1AKMT4,methylation K36,Protein modification,#,eEF1A (elongation factor alpha),EEF1A lysine methyltransferase 4,EFMT4_HUMAN,PF08241,EFMT4_MOUSE,Protein methylation
EEF1AKNMT,K55m,Protein modification,#,Lys55 of eEF1A,eEF1A lysine and N-terminal methyltransferase,EFNMT_HUMAN,PF08241,EFNMT_MOUSE,Protein methylation
EHMT1,"H3K9me1, H3K9me2",Histone modification write,#,H3K9,euchromatic histone-lysine N-methyltransferase 1,EHMT1_HUMAN,"Ank_2 PF12796 742-836 810-903 910-998, Ank_4 PF13637 773-826 839-893, Pfam-B_28560 PB028560 1-98, Pre-SET PF05033 1013-1118, SET PF00856 1137-1243",EHMT1_MOUSE,Histone methylation
EHMT2,"H3K9me1, H3K9me2",Histone modification write,#,H3K9,euchromatic histone-lysine N-methyltransferase 2,EHMT2_HUMAN,"Ank PF00023 684-716 717-748 750-783 784-816 818-849 850-882, Pfam-B_9355 PB009355 34-359, Pre-SET PF05033 925-1030, SET PF00856 1049-1155",EHMT2_MOUSE,Histone methylation
EID1,#,Histone modification write cofactor,#,#,EP300 interacting inhibitor of differentiation 1,EID1_HUMAN,Pfam-B_5729 PB005729 1-159,EID1_MOUSE,Histone acetylation
EID2,#,Histone modification write cofactor,#,#,EP300 interacting inhibitor of differentiation 2,EID2_HUMAN,"Pfam-B_42536 PB042536 111-199, Pfam-B_7728 PB007728 1-109 201-234",EID2_MOUSE,Histone acetylation
EID2B,#,Histone modification erase cofactor,#,#,EP300 interacting inhibitor of differentiation 2B,EID2B_HUMAN,#,#,Histone acetylation
